Assembly	N_contigs_0_bp	N_contigs_1000_bp	N_contigs_5000_bp	N_contigs_10000_bp	N_contigs_25000_bp	N_contigs_50000_bp	Total_length_0_bp	Total_length_1000_bp	Total_length_5000_bp	Total_length_10000_bp	Total_length_25000_bp	Total_length_50000_bp	N_contigs	Largest_contig	Total_length	GC	N50	N75	L50	L75	N_N_s_per_100_kbp	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	dunno	species	useGenome
GCA_000347515	68	51	43	35	27	19	3108278	3098850	3072512	3011789	2881825	2561791	58	500530	3104333	44.55	129919	76189	8	16	46.13	PRJNA186734	SAMN02471400	APHP00000000.1	na	1284223	1590	Lactobacillus plantarum UCMA 3037	strain=UCMA 3037	NA	latest	Scaffold	Major	Full	2013-03-20	Assemblage de novo	Universite de Caen Basse-Normandie	GCF_000347515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/515/GCA_000347515.1_Assemblage_de_novo	NA	NA	plantarum	TRUE
GCA_000392485	8	8	8	7	5	1	3246630	3246630	3246630	3237944	3206665	3035719	8	3035719	3246630	44.55	3035719	3035719	1	1	0	PRJNA49145	SAMN02603936	NA	na	767468	1590	Lactobacillus plantarum subsp. plantarum P-8	strain=plantarum	NA	latest	Complete Genome	Major	Full	2015-01-23	ASM39248v2	The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China	GCF_000392485.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/485/GCA_000392485.2_ASM39248v2	NA	NA	plantarum	TRUE
GCA_000410795	208	124	90	68	41	19	3254055	3220086	3140108	2980222	2539153	1703993	141	205844	3232120	44.44	51756	32988	18	38	0	PRJNA198827	SAMN02470055	ASJE00000000.1	na	1328309	1590	Lactobacillus plantarum IPLA88	strain=IPLA88	NA	latest	Contig	Major	Full	2013-06-13	LplantarumLP882.0	Instituto de Productos Lacteos de Asturias (IPLA-CSIC)	GCF_000410795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/410/795/GCA_000410795.1_LplantarumLP882.0	NA	NA	plantarum	TRUE
GCA_000412205	11	11	11	8	7	4	3361015	3361015	3361015	3338675	3325334	3220808	11	3044678	3361015	44.35	3044678	3044678	1	1	0.57	PRJNA198762	SAMN02604115	NA	na	1327988	1590	Lactobacillus plantarum 16	strain=16	NA	latest	Complete Genome	Major	Full	2013-06-18	ASM41220v1	University College Cork	GCF_000412205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/205/GCA_000412205.1_ASM41220v1	NA	NA	plantarum	TRUE
GCA_000463075	51	46	42	36	30	21	3414633	3411314	3402619	3355279	3257273	2910397	51	570301	3414633	46.46	143220	66967	7	16	0	PRJNA214308	SAMN02469688	AVAQ00000000.1	na	1382301	1590	Lactobacillus plantarum EGD-AQ4	strain=EGD-AQ4	NA	latest	Contig	Minor	Full	2013-08-23	GC Assembler	National Environmental Engineering Research Institute-CSIR	GCF_000463075.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/075/GCA_000463075.2_GC_Assembler	NA	NA	plantarum	TRUE
GCA_000466845	192	182	138	100	36	12	3179972	3172979	3049226	2776295	1748587	876561	191	120075	3179500	44.53	30046	15983	31	69	1.79	PRJNA213979	SAMN02298725	AVFI00000000.1	na	1385855	1590	Lactobacillus plantarum 2165	strain=2165	NA	latest	Contig	Major	Full	2013-09-13	ASM46684v1	Kingston Uniiversity	GCF_000466845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/845/GCA_000466845.1_ASM46684v1	many frameshifted proteins	NA	plantarum	TRUE
GCA_000466905	164	164	102	68	43	22	3334257	3334257	3155039	2899020	2528686	1741521	164	187566	3334257	44.44	50302	25536	21	42	0	PRJNA215163	SAMN02298727	AVFJ00000000.2	na	1385856	1590	Lactobacillus plantarum 2025	strain=2025	NA	latest	Contig	Major	Full	2015-10-01	ASM46690v2	Kingston University	GCF_000466905.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/905/GCA_000466905.2_ASM46690v2	many frameshifted proteins	NA	plantarum	TRUE
GCA_000469115	169	121	81	60	36	22	3315973	3282471	3188868	3043706	2650585	2188988	164	208983	3313940	43.72	78526	29704	14	31	0	PRJNA211934	SAMN02250894	AVAI00000000.1	na	1358413	1590	Lactobacillus plantarum AY01	strain=AY01	NA	latest	Contig	Major	Full	2013-09-20	Velvet V1.2.03 of the Lactobacillus plantarum genome	Kunming University of Science and Technology	GCF_000469115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/115/GCA_000469115.1_Velvet_V1.2.03_of_the_Lactobacillus_plantarum_genome	NA	NA	plantarum	TRUE
GCA_000473935	145	123	93	82	46	15	2925584	2912831	2837154	2754837	2198808	1119099	136	111877	2922551	45.06	38150	25386	23	46	220.56	PRJNA221362	SAMN02470621	AXDQ00000000.1	na	1403542	1590	Lactobacillus plantarum LP91	strain=LP91	NA	latest	Contig	Major	Full	2013-10-17	LP1_1.0	National Dairy Research Institute	GCF_000473935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/473/935/GCA_000473935.1_LP1_1.0	NA	NA	plantarum	TRUE
GCA_000474695	102	97	74	61	47	22	3477495	3473739	3425541	3332738	3096615	2166733	102	255359	3477495	44.24	68046	41257	15	32	0	PRJNA209589	SAMN02470914	AUTE00000000.1	na	1350466	1590	Lactobacillus plantarum WJL	strain=WJL	NA	latest	Contig	Major	Full	2013-10-18	Lactobacillus plantarum WJL genome Assembly	Seoul National University	GCF_000474695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/474/695/GCA_000474695.1_Lactobacillus_plantarum_WJL_genome_Assembly	NA	NA	plantarum	TRUE
GCA_000498955	181	161	122	100	47	12	3279100	3270347	3158064	2987004	2094733	837731	170	94589	3275891	45.04	33724	18192	32	65	25.76	PRJNA222257	SAMN02369445	AYGX00000000.2	representative genome	1413187	483011	Lactobacillus fabifermentans DSM 21115	strain=DSM 21115	NA	latest	Scaffold	Major	Full	2015-11-06	NMG01	Shanghai Majorbio	GCF_000498955.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/498/955/GCA_000498955.2_NMG01	NA	assembly from type material	fabifermentans	TRUE
GCA_000507045	105	88	69	53	35	26	3320363	3308765	3267254	3152277	2875896	2524554	104	360161	3320047	44.27	80424	51546	13	26	0	PRJNA214266	SAMN02303046	AYTU00000000.1	na	1382366	1590	Lactobacillus plantarum 4_3	strain=4_3	NA	latest	Contig	Major	Full	2013-12-12	Velvet for Version 1.2.03 of the Lactobacillus plantarum genome	Kunming University of Science and Technology	GCF_000507045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/507/045/GCA_000507045.1_Velvet_for_Version_1.2.03_of_the_Lactobacillus_plantarum_genome	NA	NA	plantarum	TRUE
GCA_000565485	94	94	86	78	48	25	3580413	3580413	3555253	3500941	3001811	2201260	94	198569	3580413	44.9	56089	34109	18	38	27.59	PRJNA219157	SAMN02356208	AWWK00000000.1	na	1400520	483011	Lactobacillus fabifermentans T30PCM01	strain=T30PCM01	NA	latest	Scaffold	Major	Full	2014-02-07	Lfabi1.0	University of Padova	GCF_000565485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/565/485/GCA_000565485.1_Lfabi1.0	NA	NA	fabifermentans	TRUE
GCA_000604105	3	3	2	1	1	1	3210111	3210111	3208049	3198796	3198796	3198796	3	3198796	3210111	44.64	3198796	3198796	1	1	0	PRJNA191579	SAMN05771125	NA	na	1300221	1590	Lactobacillus plantarum DOMLa	strain=DOMLa	NA	latest	Complete Genome	Major	Full	2014-03-28	ASM60410v1	State Key Laboratory for Infectious Disease Prevention and Control, National Institute for Communicable Disease Control and Prevention, China CDC	GCF_000604105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/105/GCA_000604105.1_ASM60410v1	NA	NA	plantarum	TRUE
GCA_000604145	186	148	107	84	40	11	2928189	2913129	2803699	2614328	1899565	907615	157	140193	2919363	44.77	34106	18345	25	54	0	PRJNA215997	SAMN02712082	AWOY00000000.1	na	1390373	1590	Lactobacillus plantarum WHE 92	strain=WHE 92	NA	latest	Contig	Major	Full	2014-03-28	LbplWHE92v1.0	Technical University of Denmark	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/145/GCA_000604145.1_LbplWHE92v1.0	many frameshifted proteins	NA	plantarum	TRUE
GCA_000604365	241	203	124	91	40	18	3289268	3263947	3061481	2839572	2052335	1330006	238	114127	3288020	44.42	32229	15762	26	61	1.67	PRJNA218842	SAMN02353165	AWTS00000000.1	na	1399793	1590	Lactobacillus plantarum 19L3	strain=19L3	NA	latest	Contig	Major	Full	2014-03-28	LactobacillusPlantarum	Fundacion para el Fomento de la Investigacion Sanitaria y Biomedica de la Comunidad Valenciana (FISABIO-Salud Publica)	GCF_000604365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/365/GCA_000604365.1_LactobacillusPlantarum	many frameshifted proteins	NA	plantarum	TRUE
GCA_000615325	39	36	29	28	24	19	3209456	3207380	3193320	3186099	3113321	2915562	39	371528	3209456	44.46	220833	85644	6	12	0	PRJDB641	SAMD00012694	BALV00000000.1	na	525338	1590	Lactobacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437	strain=JCM 1149	NA	latest	Contig	Major	Full	2014-03-31	ASM61532v1	The University of Tokyo	GCF_000615325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/615/325/GCA_000615325.1_ASM61532v1	many frameshifted proteins	assembly from type material	plantarum	TRUE
GCA_000648755	323	153	94	71	45	17	3352666	3283447	3164555	2999970	2563314	1488882	189	196461	3309980	44.39	48699	28568	21	42	0	PRJNA245118	SAMN02732144	JMEL00000000.1	na	337330	1590	Lactobacillus plantarum subsp. plantarum	strain=wikim18	NA	latest	Contig	Major	Full	2014-04-29	LP_contig	WIKIM	GCF_000648755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/755/GCA_000648755.1_LP_contig	NA	NA	plantarum	TRUE
GCA_000687495	48	48	30	18	14	10	3442875	3442875	3371731	3285817	3231559	3097638	48	1891636	3442875	44.29	1891636	196459	1	4	0	PRJNA239498	SAMN02743874	JHWA00000000.1	na	1590	1590	Lactobacillus plantarum	strain=AG30	NA	latest	Contig	Major	Full	2014-04-08	ASM68749v1	DOE Joint Genome Institute	GCF_000687495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/495/GCA_000687495.1_ASM68749v1	NA	NA	plantarum	TRUE
GCA_000731855	33	32	26	26	22	17	3324076	3323722	3308796	3308796	3229842	3028643	32	489345	3323722	44.32	207479	120003	5	10	0	PRJNA241429	SAMN02689810	JIBX00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Lp90	NA	latest	Contig	Major	Full	2014-07-21	ASM73185v1	Consiglio per la Ricerca e la Sperimentazione in Agricoltura	GCF_000731855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/731/855/GCA_000731855.1_ASM73185v1	NA	NA	plantarum	TRUE
GCA_000743895	83	58	48	45	29	20	3194687	3184205	3161023	3138146	2891592	2594883	66	283038	3188744	44.55	124908	72013	9	17	0	PRJNA252100	SAMN02849421	JOJT00000000.1	na	1590	1590	Lactobacillus plantarum	strain=DmCS_001	NA	latest	Contig	Major	Full	2014-08-26	ASM74389v1	Cornell University	GCF_000743895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/895/GCA_000743895.1_ASM74389v1	NA	NA	plantarum	TRUE
GCA_000758145	40	40	33	31	25	23	3119721	3119721	3108274	3092836	2993965	2909360	40	412484	3119721	43.89	136158	81685	7	14	0.1	PRJNA253765	SAMN02893814	JPEB00000000.1	na	60520	60520	Lactobacillus paraplantarum	strain=L-ZS9	NA	latest	Scaffold	Major	Full	2014-09-25	ASM75814v1	China Agricultural University	GCF_000758145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/758/145/GCA_000758145.1_ASM75814v1	NA	NA	paraplantarum	TRUE
GCA_000762955	7	7	6	6	5	1	3507828	3507828	3505701	3505701	3494760	3364521	7	3364521	3507828	44.2	3364521	3364521	1	1	119.73	PRJNA193572	SAMN03083641	AXZV00000000.1	na	1304889	1590	Lactobacillus plantarum CMPG5300	strain=CMPG5300	NA	latest	Chromosome	Major	Full	2014-10-14	ASM76295v1	KU Leuven	GCF_000762955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/762/955/GCA_000762955.1_ASM76295v1	NA	NA	plantarum	TRUE
GCA_000764285	4	3	2	2	2	2	3313644	3313114	3310691	3310691	3310691	3310691	4	3257132	3313644	44.48	3257132	3257132	1	1	40.38	PRJNA256799	SAMN02947174	JPSU00000000.1	na	1590	1590	Lactobacillus plantarum	strain=FMNP01	NA	latest	Scaffold	Major	Full	2014-10-06	ASM76428v1	South China Agricultural University	GCF_000764285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/764/285/GCA_000764285.1_ASM76428v1	NA	NA	plantarum	TRUE
GCA_000830535	47	35	28	27	22	18	3371458	3365323	3350590	3343132	3250745	3086263	40	438717	3369238	44.26	236899	124904	5	10	0.06	PRJNA271052	SAMN03272560	JXAX00000000.1	na	1590	1590	Lactobacillus plantarum	strain=90sk	NA	latest	Contig	Major	Full	2015-01-30	ASM83053v1	Vavilov Institute of General Genetics	GCF_000830535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/535/GCA_000830535.1_ASM83053v1	NA	NA	plantarum	TRUE
GCA_000931425	3	3	3	2	1	1	3310674	3310674	3310674	3304689	3284260	3284260	3	3284260	3310674	44.42	3284260	3284260	1	1	0	PRJNA271910	SAMN03278695	NA	na	1590	1590	Lactobacillus plantarum	strain=B21	NA	latest	Complete Genome	Major	Full	2018-02-06	ASM93142v2	RMIT University	GCF_000931425.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/931/425/GCA_000931425.2_ASM93142v2	NA	NA	plantarum	TRUE
GCA_000956195	178	141	86	63	37	18	3237330	3217071	3068836	2894050	2507063	1816766	160	200934	3230545	44.38	59762	28998	15	34	0.12	PRJNA263714	SAMN03160619	JSUW00000000.1	na	1590	1590	Lactobacillus plantarum	strain=CIP104448	NA	latest	Contig	Major	Full	2015-03-19	ASM95619v1	TIFN	GCF_000956195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/956/195/GCA_000956195.1_ASM95619v1	NA	NA	plantarum	TRUE
GCA_000966475	52	50	33	23	16	14	3353072	3351134	3312345	3239630	3120196	3041636	52	412918	3353072	44.42	256293	164231	5	9	0.09	PRJNA277393	SAMN03390058	JZSB00000000.1	na	1590	1590	Lactobacillus plantarum	strain=NL42	NA	latest	Scaffold	Major	Full	2015-04-01	ASM96647v1	No. 17 Qinghua East Road, Hai-dian District	GCF_000966475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/966/475/GCA_000966475.1_ASM96647v1	NA	NA	plantarum	TRUE
GCA_001005695	174	138	97	74	41	20	3079349	3059614	2955288	2794589	2258863	1473389	155	150860	3071647	44.5	49090	22019	22	43	0.13	PRJNA263713	SAMN03160585	JSUX00000000.1	na	1590	1590	Lactobacillus plantarum	strain=TIFN101	NA	latest	Contig	Major	Full	2015-05-08	ASM100569v1	TIFN	GCF_001005695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/005/695/GCA_001005695.1_ASM100569v1	NA	NA	plantarum	TRUE
GCA_001005805	11	11	9	6	5	2	3325806	3325806	3322336	3301824	3289391	3198798	11	2312345	3325806	44.42	2312345	886453	1	2	16.54	PRJNA279324	SAMN03445817	LBHS00000000.1	na	1590	1590	Lactobacillus plantarum	strain=PS128	NA	latest	Scaffold	Major	Full	2015-05-11	ASM100580v1	Institute of Biomedical Informatics, National Yang Ming University	GCF_001005805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/005/805/GCA_001005805.1_ASM100580v1	NA	NA	plantarum	TRUE
GCA_001010175	18	18	17	17	16	15	3330093	3330093	3328301	3328301	3305470	3271214	18	588024	3330093	44.37	386336	225160	4	7	2.16	PRJNA279953	SAMN03452286	LBDF00000000.1	na	1590	1590	Lactobacillus plantarum	strain=8 RA-3	NA	latest	Contig	Major	Full	2015-05-18	ASM101017v1	Federal State Scientific-Industrial Company MICROGEN	GCF_001010175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/175/GCA_001010175.1_ASM101017v1	NA	NA	plantarum	TRUE
GCA_001039045	55	54	44	40	28	19	2899876	2899321	2871436	2845187	2637746	2335567	55	279595	2899876	43.5	118101	67980	9	17	123.14	PRJNA286806	SAMN03770836	LFEE00000000.1	representative genome	1670446	1670446	Lactobacillus herbarum	strain=TCF032-E4	NA	latest	Scaffold	Major	Full	2015-06-24	ASM103904v1	DuPont	GCF_001039045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/045/GCA_001039045.1_ASM103904v1	NA	assembly from type material	herbarum	TRUE
GCA_001188985	19	18	16	14	10	10	3716548	3715861	3711273	3694312	3630656	3630656	19	993479	3716548	46.19	620519	498925	3	4	7.48	PRJNA287739	SAMN03785590	LFLY00000000.1	na	1589	1589	Lactobacillus pentosus	strain=FL0421	NA	latest	Scaffold	Major	Full	2015-07-30	ASM118898v1	Huazhong Agriculture University	GCF_001188985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/985/GCA_001188985.1_ASM118898v1	NA	NA	pentosus	TRUE
GCA_001267905	45	45	35	31	26	21	3216480	3216480	3190102	3157467	3071472	2924711	45	332974	3216480	44.5	149697	94023	7	14	0.28	PRJNA286052	SAMN03764446	LEKW00000000.1	na	1590	1590	Lactobacillus plantarum	strain=L31-1	NA	latest	Scaffold	Major	Full	2015-08-17	ASM126790v1	China Agricultural University	GCF_001267905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/267/905/GCA_001267905.1_ASM126790v1	NA	NA	plantarum	TRUE
GCA_001272315	3	3	3	3	3	2	3273239	3273239	3273239	3273239	3273239	3224234	3	3156839	3273239	44.44	3156839	3156839	1	1	0	PRJNA292463	SAMN03976562	NA	na	337330	1590	Lactobacillus plantarum subsp. plantarum	strain=CGMCC 1.557	NA	latest	Complete Genome	Major	Full	2017-07-05	ASM127231v2	Acadamy of Military Medical Sciences	GCF_001272315.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/272/315/GCA_001272315.2_ASM127231v2	NA	NA	plantarum	TRUE
GCA_001273585	101	88	56	50	31	22	3204772	3195347	3122907	3082573	2781416	2468824	101	216279	3204772	44.99	116595	58084	11	21	0	PRJNA287726	SAMN03785547	LGIM00000000.1	na	1590	1590	Lactobacillus plantarum	strain=SNU.Lp177	NA	latest	Contig	Major	Full	2015-08-21	ASM127358v1	Seoul National University	GCF_001273585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/273/585/GCA_001273585.1_ASM127358v1	NA	NA	plantarum	TRUE
GCA_001278015	1	1	1	1	1	1	3237652	3237652	3237652	3237652	3237652	3237652	1	3237652	3237652	44.66	3237652	3237652	1	1	0	PRJNA257680	SAMN02953961	NA	na	1590	1590	Lactobacillus plantarum	strain=5-2	NA	latest	Complete Genome	Major	Full	2015-09-02	ASM127801v1	Chinese National Human Genome Center at Shanghai	GCF_001278015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/278/015/GCA_001278015.1_ASM127801v1	NA	NA	plantarum	TRUE
GCA_001296095	1	1	1	1	1	1	3198337	3198337	3198337	3198337	3198337	3198337	1	3198337	3198337	44.66	3198337	3198337	1	1	0	PRJNA291681	SAMN03952027	NA	na	1590	1590	Lactobacillus plantarum	strain=ZS2058	NA	latest	Complete Genome	Major	Full	2015-09-22	ASM129609v1	Jiangnan University	GCF_001296095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/296/095/GCA_001296095.1_ASM129609v1	NA	NA	plantarum	TRUE
GCA_001302645	11	11	10	8	7	3	3405709	3405709	3401841	3387801	3375950	3208480	11	3067675	3405709	44.31	3067675	3067675	1	1	0	PRJNA295007	SAMN04038608	NA	na	1590	1590	Lactobacillus plantarum	strain=HFC8	NA	latest	Complete Genome	Major	Full	2015-09-29	ASM130264v1	CSIR-Institute of Himalayan Bioresource Technology	GCF_001302645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/302/645/GCA_001302645.1_ASM130264v1	NA	NA	plantarum	TRUE
GCA_001307325	13	12	11	11	8	4	3503067	3502507	3499668	3499668	3443693	3297466	13	1586832	3503067	44.21	808626	476828	2	3	0	PRJNA294130	SAMN04017315	LKLZ00000000.1	na	1350466	1590	Lactobacillus plantarum WJL	strain=WJL	NA	latest	Contig	Major	Full	2015-10-06	ASM130732v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001307325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/325/GCA_001307325.1_ASM130732v1	NA	NA	plantarum	TRUE
GCA_001308305	2	2	2	2	2	2	3231771	3231771	3231771	3231771	3231771	3231771	2	1956412	3231771	44.5	1956412	1275359	1	2	0	PRJNA297436	SAMN04123802	LKHZ00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2877	NA	latest	Contig	Major	Full	2015-10-08	ASM130830v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001308305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/308/305/GCA_001308305.1_ASM130830v1	NA	NA	plantarum	TRUE
